Code,Description
9E,Endeavor Air Inc.
AA,American Airlines Inc.
AS,Alaska Airlines Inc.
B6,JetBlue Airways
CO,Continental Air Lines Inc.
DL,Delta Air Lines Inc.
EV,Atlantic Southeast Airlines
F9,Frontier Airlines Inc.
FL,AirTran Airways Corporation
HA,Hawaiian Airlines Inc.
MQ,American Eagle Airlines Inc.
NK,Spirit Air Lines
NW,Northwest Airlines Inc.
OH,PSA Airlines Inc.
OO,SkyWest Airlines Inc.
TZ,ATA Airlines d/b/a ATA
UA,United Air Lines Inc.
US,US Airways Inc.
WN,Southwest Airlines Co.
XE,ExpressJet Airlines Inc.
YV,Mesa Airlines Inc.
